names,masks
"(2460,6765,512,512)","(2460,6765,512,512)"
"(2460,6970,512,512)","(2460,6970,512,512)"
"(2460,7175,512,512)","(2460,7175,512,512)"
"(2460,7380,512,512)","(2460,7380,512,512)"
"(2460,7585,512,512)","(2460,7585,512,512)"
"(2460,7790,512,512)","(2460,7790,512,512)"
"(2460,7995,512,512)","(2460,7995,512,512)"
"(2460,8200,512,512)","(2460,8200,512,512)"
"(2460,8405,512,512)","(2460,8405,512,512)"
"(2460,8610,512,512)","(2460,8610,512,512)"
"(2460,8815,512,512)","(2460,8815,512,512)"
"(2460,9020,512,512)","(2460,9020,512,512)"
"(2460,9225,512,512)","(2460,9225,512,512)"
"(2460,9430,512,512)","(2460,9430,512,512)"
"(2460,9635,512,512)","(2460,9635,512,512)"
"(2460,9840,512,512)","(2460,9840,512,512)"
"(2460,10045,512,512)","(2460,10045,512,512)"
"(2460,10250,512,512)","(2460,10250,512,512)"
"(2460,10455,512,512)","(2460,10455,512,512)"
"(2665,205,512,512)","(2665,205,512,512)"
"(2665,410,512,512)","(2665,410,512,512)"
"(2665,615,512,512)","(2665,615,512,512)"
"(2665,820,512,512)","(2665,820,512,512)"
"(2665,1025,512,512)","(2665,1025,512,512)"
"(2665,1230,512,512)","(2665,1230,512,512)"
"(2665,1435,512,512)","(2665,1435,512,512)"
"(2665,1640,512,512)","(2665,1640,512,512)"
"(2665,1845,512,512)","(2665,1845,512,512)"
"(2665,2050,512,512)","(2665,2050,512,512)"
"(2665,2255,512,512)","(2665,2255,512,512)"
"(2665,2460,512,512)","(2665,2460,512,512)"
"(2665,2665,512,512)","(2665,2665,512,512)"
"(2665,2870,512,512)","(2665,2870,512,512)"
"(2665,3075,512,512)","(2665,3075,512,512)"
"(2665,3280,512,512)","(2665,3280,512,512)"
"(2665,3485,512,512)","(2665,3485,512,512)"
"(2665,3690,512,512)","(2665,3690,512,512)"
"(2665,3895,512,512)","(2665,3895,512,512)"
"(2665,4100,512,512)","(2665,4100,512,512)"
"(2665,4305,512,512)","(2665,4305,512,512)"
"(2665,4510,512,512)","(2665,4510,512,512)"
"(2665,4715,512,512)","(2665,4715,512,512)"
"(2665,4920,512,512)","(2665,4920,512,512)"
"(2665,5125,512,512)","(2665,5125,512,512)"
"(2665,5330,512,512)","(2665,5330,512,512)"
"(2665,5535,512,512)","(2665,5535,512,512)"
"(2665,5740,512,512)","(2665,5740,512,512)"
"(2665,5945,512,512)","(2665,5945,512,512)"
"(2665,6150,512,512)","(2665,6150,512,512)"
"(2665,6355,512,512)","(2665,6355,512,512)"
"(2665,6560,512,512)","(2665,6560,512,512)"
"(2665,6765,512,512)","(2665,6765,512,512)"
"(2665,6970,512,512)","(2665,6970,512,512)"
"(2665,7175,512,512)","(2665,7175,512,512)"
"(2665,7380,512,512)","(2665,7380,512,512)"
"(2665,7585,512,512)","(2665,7585,512,512)"
"(2665,7790,512,512)","(2665,7790,512,512)"
"(2665,7995,512,512)","(2665,7995,512,512)"
"(2665,8200,512,512)","(2665,8200,512,512)"
"(2665,8405,512,512)","(2665,8405,512,512)"
"(2665,8610,512,512)","(2665,8610,512,512)"
"(2665,8815,512,512)","(2665,8815,512,512)"
"(2665,9020,512,512)","(2665,9020,512,512)"
"(2665,9225,512,512)","(2665,9225,512,512)"
"(2665,9430,512,512)","(2665,9430,512,512)"
"(2665,9635,512,512)","(2665,9635,512,512)"
"(2665,9840,512,512)","(2665,9840,512,512)"
"(2665,10045,512,512)","(2665,10045,512,512)"
"(2665,10250,512,512)","(2665,10250,512,512)"
"(2665,10455,512,512)","(2665,10455,512,512)"
"(2870,205,512,512)","(2870,205,512,512)"
"(2870,410,512,512)","(2870,410,512,512)"
"(2870,615,512,512)","(2870,615,512,512)"
"(2870,820,512,512)","(2870,820,512,512)"
"(2870,1025,512,512)","(2870,1025,512,512)"
"(2870,1230,512,512)","(2870,1230,512,512)"
"(2870,1435,512,512)","(2870,1435,512,512)"
"(2870,1640,512,512)","(2870,1640,512,512)"
"(2870,1845,512,512)","(2870,1845,512,512)"
"(2870,2050,512,512)","(2870,2050,512,512)"
"(2870,2255,512,512)","(2870,2255,512,512)"
"(2870,2460,512,512)","(2870,2460,512,512)"
"(2870,2665,512,512)","(2870,2665,512,512)"
"(2870,2870,512,512)","(2870,2870,512,512)"
"(2870,3075,512,512)","(2870,3075,512,512)"
"(2870,3280,512,512)","(2870,3280,512,512)"
"(2870,3485,512,512)","(2870,3485,512,512)"
"(2870,3690,512,512)","(2870,3690,512,512)"
"(2870,3895,512,512)","(2870,3895,512,512)"
"(2870,4100,512,512)","(2870,4100,512,512)"
"(2870,4305,512,512)","(2870,4305,512,512)"
"(2870,4510,512,512)","(2870,4510,512,512)"
"(2870,4715,512,512)","(2870,4715,512,512)"
"(2870,4920,512,512)","(2870,4920,512,512)"
"(2870,5125,512,512)","(2870,5125,512,512)"
"(2870,5330,512,512)","(2870,5330,512,512)"
"(2870,5535,512,512)","(2870,5535,512,512)"
"(2870,5740,512,512)","(2870,5740,512,512)"
"(2870,5945,512,512)","(2870,5945,512,512)"
"(2870,6150,512,512)","(2870,6150,512,512)"
"(2870,6355,512,512)","(2870,6355,512,512)"
"(2870,6560,512,512)","(2870,6560,512,512)"
"(2870,6765,512,512)","(2870,6765,512,512)"
"(2870,6970,512,512)","(2870,6970,512,512)"
"(2870,7175,512,512)","(2870,7175,512,512)"
"(2870,7380,512,512)","(2870,7380,512,512)"
"(2870,7585,512,512)","(2870,7585,512,512)"
"(2870,7790,512,512)","(2870,7790,512,512)"
"(2870,7995,512,512)","(2870,7995,512,512)"
"(2870,8200,512,512)","(2870,8200,512,512)"
"(2870,8405,512,512)","(2870,8405,512,512)"
"(2870,8610,512,512)","(2870,8610,512,512)"
"(2870,8815,512,512)","(2870,8815,512,512)"
"(2870,9020,512,512)","(2870,9020,512,512)"
"(2870,9225,512,512)","(2870,9225,512,512)"
"(2870,9430,512,512)","(2870,9430,512,512)"
"(2870,9635,512,512)","(2870,9635,512,512)"
"(2870,9840,512,512)","(2870,9840,512,512)"
"(2870,10045,512,512)","(2870,10045,512,512)"
"(2870,10250,512,512)","(2870,10250,512,512)"
"(2870,10455,512,512)","(2870,10455,512,512)"
"(3075,205,512,512)","(3075,205,512,512)"
"(3075,410,512,512)","(3075,410,512,512)"
"(3075,615,512,512)","(3075,615,512,512)"
"(3075,820,512,512)","(3075,820,512,512)"
"(3075,1025,512,512)","(3075,1025,512,512)"
"(3075,1230,512,512)","(3075,1230,512,512)"
"(3075,1435,512,512)","(3075,1435,512,512)"
"(3075,1640,512,512)","(3075,1640,512,512)"
"(3075,1845,512,512)","(3075,1845,512,512)"
"(3075,2050,512,512)","(3075,2050,512,512)"
"(3075,2255,512,512)","(3075,2255,512,512)"
"(3075,2460,512,512)","(3075,2460,512,512)"
"(3075,2665,512,512)","(3075,2665,512,512)"
"(3075,2870,512,512)","(3075,2870,512,512)"
"(3075,3075,512,512)","(3075,3075,512,512)"
"(3075,3280,512,512)","(3075,3280,512,512)"
"(3075,3485,512,512)","(3075,3485,512,512)"
"(3075,3690,512,512)","(3075,3690,512,512)"
"(3075,3895,512,512)","(3075,3895,512,512)"
"(3075,4100,512,512)","(3075,4100,512,512)"
"(3075,4305,512,512)","(3075,4305,512,512)"
"(3075,4510,512,512)","(3075,4510,512,512)"
"(3075,4715,512,512)","(3075,4715,512,512)"
"(3075,4920,512,512)","(3075,4920,512,512)"
"(3075,5125,512,512)","(3075,5125,512,512)"
"(3075,5330,512,512)","(3075,5330,512,512)"
"(3075,5535,512,512)","(3075,5535,512,512)"
"(3075,5740,512,512)","(3075,5740,512,512)"
"(3075,5945,512,512)","(3075,5945,512,512)"
"(3075,6150,512,512)","(3075,6150,512,512)"
"(3075,6355,512,512)","(3075,6355,512,512)"
"(3075,6560,512,512)","(3075,6560,512,512)"
"(3075,6765,512,512)","(3075,6765,512,512)"
"(3075,6970,512,512)","(3075,6970,512,512)"
"(3075,7175,512,512)","(3075,7175,512,512)"
"(3075,7380,512,512)","(3075,7380,512,512)"
"(3075,7585,512,512)","(3075,7585,512,512)"
"(3075,7790,512,512)","(3075,7790,512,512)"
"(3075,7995,512,512)","(3075,7995,512,512)"
"(3075,8200,512,512)","(3075,8200,512,512)"
"(3075,8405,512,512)","(3075,8405,512,512)"
"(3075,8610,512,512)","(3075,8610,512,512)"
"(3075,8815,512,512)","(3075,8815,512,512)"
"(3075,9020,512,512)","(3075,9020,512,512)"
"(3075,9225,512,512)","(3075,9225,512,512)"
"(3075,9430,512,512)","(3075,9430,512,512)"
"(3075,9635,512,512)","(3075,9635,512,512)"
"(3075,9840,512,512)","(3075,9840,512,512)"
"(3075,10045,512,512)","(3075,10045,512,512)"
"(3075,10250,512,512)","(3075,10250,512,512)"
"(3075,10455,512,512)","(3075,10455,512,512)"
"(3280,205,512,512)","(3280,205,512,512)"
"(3280,410,512,512)","(3280,410,512,512)"
"(3280,615,512,512)","(3280,615,512,512)"
"(3280,820,512,512)","(3280,820,512,512)"
"(3280,1025,512,512)","(3280,1025,512,512)"
"(3280,1230,512,512)","(3280,1230,512,512)"
"(3280,1435,512,512)","(3280,1435,512,512)"
"(3280,1640,512,512)","(3280,1640,512,512)"
"(3280,1845,512,512)","(3280,1845,512,512)"
"(3280,2050,512,512)","(3280,2050,512,512)"
"(3280,2255,512,512)","(3280,2255,512,512)"
"(3280,2460,512,512)","(3280,2460,512,512)"
"(3280,2665,512,512)","(3280,2665,512,512)"
"(3280,2870,512,512)","(3280,2870,512,512)"
"(3280,3075,512,512)","(3280,3075,512,512)"
"(3280,3280,512,512)","(3280,3280,512,512)"
"(3280,3485,512,512)","(3280,3485,512,512)"
"(3280,3690,512,512)","(3280,3690,512,512)"
"(3280,3895,512,512)","(3280,3895,512,512)"
"(3280,4100,512,512)","(3280,4100,512,512)"
"(3280,4305,512,512)","(3280,4305,512,512)"
"(3280,4510,512,512)","(3280,4510,512,512)"
"(3280,4715,512,512)","(3280,4715,512,512)"
"(3280,4920,512,512)","(3280,4920,512,512)"
"(3280,5125,512,512)","(3280,5125,512,512)"
"(3280,5330,512,512)","(3280,5330,512,512)"
"(3280,5535,512,512)","(3280,5535,512,512)"
"(3280,5740,512,512)","(3280,5740,512,512)"
"(3280,5945,512,512)","(3280,5945,512,512)"
"(3280,6150,512,512)","(3280,6150,512,512)"
"(3280,6355,512,512)","(3280,6355,512,512)"
"(3280,6560,512,512)","(3280,6560,512,512)"
"(3280,6765,512,512)","(3280,6765,512,512)"
"(3280,6970,512,512)","(3280,6970,512,512)"
"(3280,7175,512,512)","(3280,7175,512,512)"
"(3280,7380,512,512)","(3280,7380,512,512)"
"(3280,7585,512,512)","(3280,7585,512,512)"
"(3280,7790,512,512)","(3280,7790,512,512)"
"(3280,7995,512,512)","(3280,7995,512,512)"
"(3280,8200,512,512)","(3280,8200,512,512)"
"(3280,8405,512,512)","(3280,8405,512,512)"
"(3280,8610,512,512)","(3280,8610,512,512)"
"(3280,8815,512,512)","(3280,8815,512,512)"
"(3280,9020,512,512)","(3280,9020,512,512)"
"(3280,9225,512,512)","(3280,9225,512,512)"
"(3280,9430,512,512)","(3280,9430,512,512)"
"(3280,9635,512,512)","(3280,9635,512,512)"
"(3280,9840,512,512)","(3280,9840,512,512)"
"(3280,10045,512,512)","(3280,10045,512,512)"
"(3280,10250,512,512)","(3280,10250,512,512)"
"(3280,10455,512,512)","(3280,10455,512,512)"
"(3485,205,512,512)","(3485,205,512,512)"
"(3485,410,512,512)","(3485,410,512,512)"
"(3485,615,512,512)","(3485,615,512,512)"
"(3485,820,512,512)","(3485,820,512,512)"
"(3485,1025,512,512)","(3485,1025,512,512)"
"(3485,1230,512,512)","(3485,1230,512,512)"
"(3485,1435,512,512)","(3485,1435,512,512)"
"(3485,1640,512,512)","(3485,1640,512,512)"
"(3485,1845,512,512)","(3485,1845,512,512)"
"(3485,2050,512,512)","(3485,2050,512,512)"
"(3485,2255,512,512)","(3485,2255,512,512)"
"(3485,2460,512,512)","(3485,2460,512,512)"
"(3485,2665,512,512)","(3485,2665,512,512)"
"(3485,2870,512,512)","(3485,2870,512,512)"
"(3485,3075,512,512)","(3485,3075,512,512)"
"(3485,3280,512,512)","(3485,3280,512,512)"
"(3485,3485,512,512)","(3485,3485,512,512)"
"(3485,3690,512,512)","(3485,3690,512,512)"
"(3485,3895,512,512)","(3485,3895,512,512)"
"(3485,4100,512,512)","(3485,4100,512,512)"
"(3485,4305,512,512)","(3485,4305,512,512)"
"(3485,4510,512,512)","(3485,4510,512,512)"
"(3485,4715,512,512)","(3485,4715,512,512)"
"(3485,4920,512,512)","(3485,4920,512,512)"
"(3485,5125,512,512)","(3485,5125,512,512)"
"(3485,5330,512,512)","(3485,5330,512,512)"
"(3485,5535,512,512)","(3485,5535,512,512)"
"(3485,5740,512,512)","(3485,5740,512,512)"
"(3485,5945,512,512)","(3485,5945,512,512)"
"(3485,6150,512,512)","(3485,6150,512,512)"
"(3485,6355,512,512)","(3485,6355,512,512)"
"(3485,6560,512,512)","(3485,6560,512,512)"
"(3485,6765,512,512)","(3485,6765,512,512)"
"(3485,6970,512,512)","(3485,6970,512,512)"
"(3485,7175,512,512)","(3485,7175,512,512)"
"(3485,7380,512,512)","(3485,7380,512,512)"
"(3485,7585,512,512)","(3485,7585,512,512)"
"(3485,7790,512,512)","(3485,7790,512,512)"
"(3485,7995,512,512)","(3485,7995,512,512)"
"(3485,8200,512,512)","(3485,8200,512,512)"
"(3485,8405,512,512)","(3485,8405,512,512)"
"(3485,8610,512,512)","(3485,8610,512,512)"
"(3485,8815,512,512)","(3485,8815,512,512)"
"(3485,9020,512,512)","(3485,9020,512,512)"
"(3485,9225,512,512)","(3485,9225,512,512)"
"(3485,9430,512,512)","(3485,9430,512,512)"
"(3485,9635,512,512)","(3485,9635,512,512)"
"(3485,9840,512,512)","(3485,9840,512,512)"
"(3485,10045,512,512)","(3485,10045,512,512)"
"(3485,10250,512,512)","(3485,10250,512,512)"
"(3485,10455,512,512)","(3485,10455,512,512)"
"(3690,205,512,512)","(3690,205,512,512)"
"(3690,410,512,512)","(3690,410,512,512)"
"(3690,615,512,512)","(3690,615,512,512)"
"(3690,820,512,512)","(3690,820,512,512)"
"(3690,1025,512,512)","(3690,1025,512,512)"
"(3690,1230,512,512)","(3690,1230,512,512)"
"(3690,1435,512,512)","(3690,1435,512,512)"
"(3690,1640,512,512)","(3690,1640,512,512)"
"(3690,1845,512,512)","(3690,1845,512,512)"
"(3690,2050,512,512)","(3690,2050,512,512)"
"(3690,2255,512,512)","(3690,2255,512,512)"
"(3690,2460,512,512)","(3690,2460,512,512)"
"(3690,2665,512,512)","(3690,2665,512,512)"
"(3690,2870,512,512)","(3690,2870,512,512)"
"(3690,3075,512,512)","(3690,3075,512,512)"
"(3690,3280,512,512)","(3690,3280,512,512)"
"(3690,3485,512,512)","(3690,3485,512,512)"
"(3690,3690,512,512)","(3690,3690,512,512)"
"(3690,3895,512,512)","(3690,3895,512,512)"
"(3690,4100,512,512)","(3690,4100,512,512)"
"(3690,4305,512,512)","(3690,4305,512,512)"
"(3690,4510,512,512)","(3690,4510,512,512)"
"(3690,4715,512,512)","(3690,4715,512,512)"
"(3690,4920,512,512)","(3690,4920,512,512)"
"(3690,5125,512,512)","(3690,5125,512,512)"
"(3690,5330,512,512)","(3690,5330,512,512)"
"(3690,5535,512,512)","(3690,5535,512,512)"
"(3690,5740,512,512)","(3690,5740,512,512)"
"(3690,5945,512,512)","(3690,5945,512,512)"
"(3690,6150,512,512)","(3690,6150,512,512)"
"(3690,6355,512,512)","(3690,6355,512,512)"
"(3690,6560,512,512)","(3690,6560,512,512)"
"(3690,6765,512,512)","(3690,6765,512,512)"
"(3690,6970,512,512)","(3690,6970,512,512)"
"(3690,7175,512,512)","(3690,7175,512,512)"
"(3690,7380,512,512)","(3690,7380,512,512)"
"(3690,7585,512,512)","(3690,7585,512,512)"
"(3690,7790,512,512)","(3690,7790,512,512)"
"(3690,7995,512,512)","(3690,7995,512,512)"
"(3690,8200,512,512)","(3690,8200,512,512)"
"(3690,8405,512,512)","(3690,8405,512,512)"
"(3690,8610,512,512)","(3690,8610,512,512)"
"(3690,8815,512,512)","(3690,8815,512,512)"
"(3690,9020,512,512)","(3690,9020,512,512)"
"(3690,9225,512,512)","(3690,9225,512,512)"
"(3690,9430,512,512)","(3690,9430,512,512)"
"(3690,9635,512,512)","(3690,9635,512,512)"
"(3690,9840,512,512)","(3690,9840,512,512)"
"(3690,10045,512,512)","(3690,10045,512,512)"
"(3690,10250,512,512)","(3690,10250,512,512)"
"(3690,10455,512,512)","(3690,10455,512,512)"
"(3895,205,512,512)","(3895,205,512,512)"
"(3895,410,512,512)","(3895,410,512,512)"
"(3895,615,512,512)","(3895,615,512,512)"
"(3895,820,512,512)","(3895,820,512,512)"
"(3895,1025,512,512)","(3895,1025,512,512)"
"(3895,1230,512,512)","(3895,1230,512,512)"
"(3895,1435,512,512)","(3895,1435,512,512)"
"(3895,1640,512,512)","(3895,1640,512,512)"
"(3895,1845,512,512)","(3895,1845,512,512)"
"(3895,2050,512,512)","(3895,2050,512,512)"
"(3895,2255,512,512)","(3895,2255,512,512)"
"(3895,2460,512,512)","(3895,2460,512,512)"
"(3895,2665,512,512)","(3895,2665,512,512)"
"(3895,2870,512,512)","(3895,2870,512,512)"
"(3895,3075,512,512)","(3895,3075,512,512)"
"(3895,3280,512,512)","(3895,3280,512,512)"
"(3895,3485,512,512)","(3895,3485,512,512)"
"(3895,3690,512,512)","(3895,3690,512,512)"
"(3895,3895,512,512)","(3895,3895,512,512)"
"(3895,4100,512,512)","(3895,4100,512,512)"
"(3895,4305,512,512)","(3895,4305,512,512)"
"(3895,4510,512,512)","(3895,4510,512,512)"
"(3895,4715,512,512)","(3895,4715,512,512)"
"(3895,4920,512,512)","(3895,4920,512,512)"
"(3895,5125,512,512)","(3895,5125,512,512)"
"(3895,5330,512,512)","(3895,5330,512,512)"
"(3895,5535,512,512)","(3895,5535,512,512)"
"(3895,5740,512,512)","(3895,5740,512,512)"
"(3895,5945,512,512)","(3895,5945,512,512)"
"(3895,6150,512,512)","(3895,6150,512,512)"
"(3895,6355,512,512)","(3895,6355,512,512)"
"(3895,6560,512,512)","(3895,6560,512,512)"
"(3895,6765,512,512)","(3895,6765,512,512)"
"(3895,6970,512,512)","(3895,6970,512,512)"
"(3895,7175,512,512)","(3895,7175,512,512)"
"(3895,7380,512,512)","(3895,7380,512,512)"
"(3895,7585,512,512)","(3895,7585,512,512)"
"(3895,7790,512,512)","(3895,7790,512,512)"
"(3895,7995,512,512)","(3895,7995,512,512)"
"(3895,8200,512,512)","(3895,8200,512,512)"
"(3895,8405,512,512)","(3895,8405,512,512)"
"(3895,8610,512,512)","(3895,8610,512,512)"
"(3895,8815,512,512)","(3895,8815,512,512)"
"(3895,9020,512,512)","(3895,9020,512,512)"
"(3895,9225,512,512)","(3895,9225,512,512)"
"(3895,9430,512,512)","(3895,9430,512,512)"
"(3895,9635,512,512)","(3895,9635,512,512)"
"(3895,9840,512,512)","(3895,9840,512,512)"
"(3895,10045,512,512)","(3895,10045,512,512)"
"(3895,10250,512,512)","(3895,10250,512,512)"
"(3895,10455,512,512)","(3895,10455,512,512)"
"(4100,205,512,512)","(4100,205,512,512)"
"(4100,410,512,512)","(4100,410,512,512)"
"(4100,615,512,512)","(4100,615,512,512)"
"(4100,820,512,512)","(4100,820,512,512)"
"(4100,1025,512,512)","(4100,1025,512,512)"
"(4100,1230,512,512)","(4100,1230,512,512)"
"(4100,1435,512,512)","(4100,1435,512,512)"
"(4100,1640,512,512)","(4100,1640,512,512)"
"(4100,1845,512,512)","(4100,1845,512,512)"
"(4100,2050,512,512)","(4100,2050,512,512)"
"(4100,2255,512,512)","(4100,2255,512,512)"
"(4100,2460,512,512)","(4100,2460,512,512)"
"(4100,2665,512,512)","(4100,2665,512,512)"
"(4100,2870,512,512)","(4100,2870,512,512)"
"(4100,3075,512,512)","(4100,3075,512,512)"
"(4100,3280,512,512)","(4100,3280,512,512)"
"(4100,3485,512,512)","(4100,3485,512,512)"
"(4100,3690,512,512)","(4100,3690,512,512)"
"(4100,3895,512,512)","(4100,3895,512,512)"
"(4100,4100,512,512)","(4100,4100,512,512)"
"(4100,4305,512,512)","(4100,4305,512,512)"
"(4100,4510,512,512)","(4100,4510,512,512)"
"(4100,4715,512,512)","(4100,4715,512,512)"
"(4100,4920,512,512)","(4100,4920,512,512)"
"(4100,5125,512,512)","(4100,5125,512,512)"
"(4100,5330,512,512)","(4100,5330,512,512)"
"(4100,5535,512,512)","(4100,5535,512,512)"
"(4100,5740,512,512)","(4100,5740,512,512)"
"(4100,5945,512,512)","(4100,5945,512,512)"
"(4100,6150,512,512)","(4100,6150,512,512)"
"(4100,6355,512,512)","(4100,6355,512,512)"
"(4100,6560,512,512)","(4100,6560,512,512)"
"(4100,6765,512,512)","(4100,6765,512,512)"
"(4100,6970,512,512)","(4100,6970,512,512)"
"(4100,7175,512,512)","(4100,7175,512,512)"
"(4100,7380,512,512)","(4100,7380,512,512)"
"(4100,7585,512,512)","(4100,7585,512,512)"
"(4100,7790,512,512)","(4100,7790,512,512)"
"(4100,7995,512,512)","(4100,7995,512,512)"
"(4100,8200,512,512)","(4100,8200,512,512)"
"(4100,8405,512,512)","(4100,8405,512,512)"
"(4100,8610,512,512)","(4100,8610,512,512)"
"(4100,8815,512,512)","(4100,8815,512,512)"
"(4100,9020,512,512)","(4100,9020,512,512)"
"(4100,9225,512,512)","(4100,9225,512,512)"
"(4100,9430,512,512)","(4100,9430,512,512)"
"(4100,9635,512,512)","(4100,9635,512,512)"
"(4100,9840,512,512)","(4100,9840,512,512)"
"(4100,10045,512,512)","(4100,10045,512,512)"
"(4100,10250,512,512)","(4100,10250,512,512)"
"(4100,10455,512,512)","(4100,10455,512,512)"
"(4305,205,512,512)","(4305,205,512,512)"
"(4305,410,512,512)","(4305,410,512,512)"
"(4305,615,512,512)","(4305,615,512,512)"
"(4305,820,512,512)","(4305,820,512,512)"
"(4305,1025,512,512)","(4305,1025,512,512)"
"(4305,1230,512,512)","(4305,1230,512,512)"
"(4305,1435,512,512)","(4305,1435,512,512)"
"(4305,1640,512,512)","(4305,1640,512,512)"
"(4305,1845,512,512)","(4305,1845,512,512)"
"(4305,2050,512,512)","(4305,2050,512,512)"
"(4305,2255,512,512)","(4305,2255,512,512)"
"(4305,2460,512,512)","(4305,2460,512,512)"
"(4305,2665,512,512)","(4305,2665,512,512)"
"(4305,2870,512,512)","(4305,2870,512,512)"
"(4305,3075,512,512)","(4305,3075,512,512)"
"(4305,3280,512,512)","(4305,3280,512,512)"
"(4305,3485,512,512)","(4305,3485,512,512)"
"(4305,3690,512,512)","(4305,3690,512,512)"
"(4305,3895,512,512)","(4305,3895,512,512)"
"(4305,4100,512,512)","(4305,4100,512,512)"
"(4305,4305,512,512)","(4305,4305,512,512)"
"(4305,4510,512,512)","(4305,4510,512,512)"
"(4305,4715,512,512)","(4305,4715,512,512)"
"(4305,4920,512,512)","(4305,4920,512,512)"
"(4305,5125,512,512)","(4305,5125,512,512)"
"(4305,5330,512,512)","(4305,5330,512,512)"
"(4305,5535,512,512)","(4305,5535,512,512)"
"(4305,5740,512,512)","(4305,5740,512,512)"
"(4305,5945,512,512)","(4305,5945,512,512)"
"(4305,6150,512,512)","(4305,6150,512,512)"
"(4305,6355,512,512)","(4305,6355,512,512)"
"(4305,6560,512,512)","(4305,6560,512,512)"
"(4305,6765,512,512)","(4305,6765,512,512)"
"(4305,6970,512,512)","(4305,6970,512,512)"
"(4305,7175,512,512)","(4305,7175,512,512)"
"(4305,7380,512,512)","(4305,7380,512,512)"
"(4305,7585,512,512)","(4305,7585,512,512)"
"(4305,7790,512,512)","(4305,7790,512,512)"
"(4305,7995,512,512)","(4305,7995,512,512)"
"(4305,8200,512,512)","(4305,8200,512,512)"
"(4305,8405,512,512)","(4305,8405,512,512)"
"(4305,8610,512,512)","(4305,8610,512,512)"
"(4305,8815,512,512)","(4305,8815,512,512)"
"(4305,9020,512,512)","(4305,9020,512,512)"
"(4305,9225,512,512)","(4305,9225,512,512)"
"(4305,9430,512,512)","(4305,9430,512,512)"
"(4305,9635,512,512)","(4305,9635,512,512)"
"(4305,9840,512,512)","(4305,9840,512,512)"
"(4305,10045,512,512)","(4305,10045,512,512)"
"(4305,10250,512,512)","(4305,10250,512,512)"
"(4305,10455,512,512)","(4305,10455,512,512)"
"(4510,205,512,512)","(4510,205,512,512)"
"(4510,410,512,512)","(4510,410,512,512)"
"(4510,615,512,512)","(4510,615,512,512)"
"(4510,820,512,512)","(4510,820,512,512)"
"(4510,1025,512,512)","(4510,1025,512,512)"
"(4510,1230,512,512)","(4510,1230,512,512)"
"(4510,1435,512,512)","(4510,1435,512,512)"
"(4510,1640,512,512)","(4510,1640,512,512)"
"(4510,1845,512,512)","(4510,1845,512,512)"
"(4510,2050,512,512)","(4510,2050,512,512)"
"(4510,2255,512,512)","(4510,2255,512,512)"
"(4510,2460,512,512)","(4510,2460,512,512)"
"(4510,2665,512,512)","(4510,2665,512,512)"
"(4510,2870,512,512)","(4510,2870,512,512)"
"(4510,3075,512,512)","(4510,3075,512,512)"
"(4510,3280,512,512)","(4510,3280,512,512)"
"(4510,3485,512,512)","(4510,3485,512,512)"
"(4510,3690,512,512)","(4510,3690,512,512)"
"(4510,3895,512,512)","(4510,3895,512,512)"
"(4510,4100,512,512)","(4510,4100,512,512)"
"(4510,4305,512,512)","(4510,4305,512,512)"
"(4510,4510,512,512)","(4510,4510,512,512)"
"(4510,4715,512,512)","(4510,4715,512,512)"
"(4510,4920,512,512)","(4510,4920,512,512)"
"(4510,5125,512,512)","(4510,5125,512,512)"
"(4510,5330,512,512)","(4510,5330,512,512)"
"(4510,5535,512,512)","(4510,5535,512,512)"
"(4510,5740,512,512)","(4510,5740,512,512)"
"(4510,5945,512,512)","(4510,5945,512,512)"
"(4510,6150,512,512)","(4510,6150,512,512)"
"(4510,6355,512,512)","(4510,6355,512,512)"
"(4510,6560,512,512)","(4510,6560,512,512)"
"(4510,6765,512,512)","(4510,6765,512,512)"
"(4510,6970,512,512)","(4510,6970,512,512)"
"(4510,7175,512,512)","(4510,7175,512,512)"
"(4510,7380,512,512)","(4510,7380,512,512)"
"(4510,7585,512,512)","(4510,7585,512,512)"
"(4510,7790,512,512)","(4510,7790,512,512)"
"(4510,7995,512,512)","(4510,7995,512,512)"
"(4510,8200,512,512)","(4510,8200,512,512)"
"(4510,8405,512,512)","(4510,8405,512,512)"
"(4510,8610,512,512)","(4510,8610,512,512)"
"(4510,8815,512,512)","(4510,8815,512,512)"
"(4510,9020,512,512)","(4510,9020,512,512)"
"(4510,9225,512,512)","(4510,9225,512,512)"
"(4510,9430,512,512)","(4510,9430,512,512)"
"(4510,9635,512,512)","(4510,9635,512,512)"
"(4510,9840,512,512)","(4510,9840,512,512)"
"(4510,10045,512,512)","(4510,10045,512,512)"
"(4510,10250,512,512)","(4510,10250,512,512)"
"(4510,10455,512,512)","(4510,10455,512,512)"
"(4715,205,512,512)","(4715,205,512,512)"
"(4715,410,512,512)","(4715,410,512,512)"
"(4715,615,512,512)","(4715,615,512,512)"
"(4715,820,512,512)","(4715,820,512,512)"
"(4715,1025,512,512)","(4715,1025,512,512)"
"(4715,1230,512,512)","(4715,1230,512,512)"
"(4715,1435,512,512)","(4715,1435,512,512)"
"(4715,1640,512,512)","(4715,1640,512,512)"
"(4715,1845,512,512)","(4715,1845,512,512)"
"(4715,2050,512,512)","(4715,2050,512,512)"
"(4715,2255,512,512)","(4715,2255,512,512)"
"(4715,2460,512,512)","(4715,2460,512,512)"
